endTime,artistName,trackName,msPlayed
2023-12-10 12:34,Carly Rae Jepsen,I'll Be Your Girl,178706
2023-12-10 12:37,Carly Rae Jepsen,Making The Most Of The Night,238506
2023-12-10 12:40,Carly Rae Jepsen,Sideways,136093
2023-12-10 12:44,Carly Rae Jepsen,Turn Me Up,224120
2023-12-10 12:47,Carly Rae Jepsen,Shy Boy,209429
2023-12-10 12:50,Carly Rae Jepsen,Guitar String / Wedding Ring,206746
2023-12-10 12:54,Carly Rae Jepsen,Cut To The Feeling,207959
2023-12-10 12:58,Carly Rae Jepsen,Higher,234413
2023-12-10 13:01,Carly Rae Jepsen,Kamikaze,179088
2023-12-10 13:04,Carly Rae Jepsen,Party For One,184533
2023-12-10 13:08,Carly Rae Jepsen,Tonight I’m Getting Over You,219213
2023-12-10 13:11,Carly Rae Jepsen,Store,192640
2023-12-10 13:15,Carly Rae Jepsen,This Kiss,228866
2023-12-10 13:18,Carly Rae Jepsen,Let's Be Friends,190242
2023-12-10 13:21,Carly Rae Jepsen,Weekend Love,162334
2023-12-10 13:25,Carly Rae Jepsen,Kollage,256528
2023-12-10 13:28,Carly Rae Jepsen,Far Away,179613
2023-12-10 13:31,Carly Rae Jepsen,After Last Night,208553
2023-12-10 13:34,Carly Rae Jepsen,Want You In My Room - Recorded at Electric Lady Studios NYC,161941
2023-12-10 13:38,Carly Rae Jepsen,Automatically In Love,213280
2023-12-10 13:41,Carly Rae Jepsen,Fever,184986
2023-12-10 13:44,Carly Rae Jepsen,Stadium Love,171382
2023-12-10 13:47,Carly Rae Jepsen,Hurt So Good,188840
2023-12-10 13:50,Carly Rae Jepsen,Sweetie,218240
2023-12-10 13:54,Carly Rae Jepsen,Emotion,197346
2023-12-10 13:57,Carly Rae Jepsen,So Right,216305
2023-12-10 14:00,Carly Rae Jepsen,Beach House,150004
2023-12-10 14:03,Carly Rae Jepsen,Put It To Rest,197597
2023-12-10 14:06,Carly Rae Jepsen,Drive,179106
2023-12-10 14:09,Carly Rae Jepsen,I Really Like You,204763
2023-12-10 14:13,Carly Rae Jepsen,Let’s Get Lost,193482
2023-12-10 14:16,Carly Rae Jepsen,First Time,215800
2023-12-10 14:19,Carly Rae Jepsen,LA Hallucinations,184613
2023-12-10 14:22,Carly Rae Jepsen,Talking to Yourself,173200
2023-12-10 14:25,Carly Rae Jepsen,Come Over,174206
2023-12-10 14:27,Carly Rae Jepsen,Fake Mona Lisa,132146
2023-12-10 14:31,Carly Rae Jepsen,No Drug Like Me,208240
2023-12-10 14:35,Carly Rae Jepsen,More Than A Memory,242026
2023-12-10 14:38,Carly Rae Jepsen,Call Me Maybe,193400
2023-12-10 14:42,Carly Rae Jepsen,Tiny Little Bows,201560
2023-12-10 14:45,Carly Rae Jepsen,Last Christmas,212453
2023-12-10 14:48,Carly Rae Jepsen,Too Much,197093
2023-12-10 14:52,Carly Rae Jepsen,Bad Thing Twice,193466
2023-12-10 14:56,Carly Rae Jepsen,The Loneliest Time (feat. Rufus Wainwright),274506
2023-12-10 14:59,Carly Rae Jepsen,Body Language,173933
2023-12-10 15:02,Carly Rae Jepsen,Aeroplanes,180006
2023-12-10 23:05,starfall,tied up,44529
2023-12-10 23:08,LØLØ,u turn me on (but u give me depression),147535
2023-12-10 23:11,Avril Lavigne,I’m a Mess (with YUNGBLUD),187793
2023-12-10 23:14,Leah Kate,10 Things I Hate About You,157138
2023-12-10 23:16,starfall,drop dead,111074
2023-12-10 23:18,The Band CAMINO,Told You So,171322
2023-12-10 23:21,Koven Wei,LIPSTICK,130120
2023-12-10 23:24,girli,More Than a Friend,175693
2023-12-10 23:25,Koven Wei,MIDNIGHT,108140
2023-12-10 23:27,Koven Wei,BEFORE,125000
2023-12-10 23:30,Koven Wei,EVERYTHING IS RED,138105
2023-12-10 23:32,juju<3,Wasted Summers,130384
2023-12-10 23:35,Emei,Backtrack,158840
2023-12-10 23:37,MICO,bad note,166771
2023-12-10 23:40,MICO,m.i.a.,152000
2023-12-10 23:48,The Band CAMINO,See You Later,155733
2023-12-10 23:51,The Band CAMINO,What Am I Missing?,172714
2023-12-11 01:14,LØLØ,debbie downer,159617
2023-12-11 01:18,MICO,maybe i'm the problem now,192000
2023-12-11 01:21,Weathers,ALL CAPS (feat. John the Ghost),184910
2023-12-11 01:24,Arrows in Action,This Time,168831
2023-12-11 01:26,MICO,cut my hair,176223
2023-12-11 01:29,Waterparks,FUNERAL GREY,164138
2023-12-11 01:32,Maggie Lindemann,Crash and Burn,159636
2023-12-11 01:34,starfall,tied up,155200
2023-12-11 01:37,LØLØ,u turn me on (but u give me depression),147535
2023-12-11 01:40,Avril Lavigne,I’m a Mess (with YUNGBLUD),187793
2023-12-11 01:43,Leah Kate,10 Things I Hate About You,157138
2023-12-11 01:45,starfall,drop dead,111074
2023-12-11 03:57,The Band CAMINO,Told You So,1439
2023-12-11 03:57,Koven Wei,LIPSTICK,16973
2023-12-11 04:00,Avril Lavigne,Bite Me,159746
2023-12-11 04:03,Charlie Puth,Charlie Be Quiet!,14907
2023-12-11 04:03,ROLE MODEL,blind,153293
2023-12-11 04:03,WILLOW,Wait a Minute!,9112
2023-12-11 07:21,Charlie Puth,Charlie Be Quiet!,5830
2023-12-11 09:37,Arrows in Action,This Time,8939
2023-12-11 09:38,Charlie Puth,Charlie Be Quiet!,32670
2023-12-11 09:43,Falling In Reverse,Bad Girls Club,38382
2023-12-11 09:44,Falling In Reverse,Watch The World Burn,17066
2023-12-11 09:44,Falling In Reverse,Popular Monster,35317
2023-12-11 09:44,Falling In Reverse,Voices In My Head,9752
2023-12-11 09:45,Falling In Reverse,Fuck The Rest,15766
2023-12-11 09:45,Falling In Reverse,Game Over,5270
2023-12-11 09:45,Falling In Reverse,Champion,23707
2023-12-11 09:45,Falling In Reverse,Chemical Prisoner,25890
2023-12-11 09:46,Falling In Reverse,Bad Girls Club,7616
2023-12-11 09:46,Falling In Reverse,Fashionably Late,52291
2023-12-11 09:46,Falling In Reverse,Self-Destruct Personality,2995
2023-12-11 09:47,Ariana Grande,boyfriend (with Social House),3924
2023-12-11 09:47,BLACKPINK,Lovesick Girls,9032
2023-12-11 09:47,BLACKPINK,Lovesick Girls,7639
2023-12-11 09:47,Imagine Dragons,Sharks,1277
2023-12-11 09:47,OneRepublic,I Ain't Worried,7058
2023-12-11 09:47,Charlie Puth,Light Switch,12306
2023-12-11 09:47,Olivia Rodrigo,"jealousy, jealousy",6919
2023-12-11 09:47,Ariana Grande,positions,12329
2023-12-11 09:49,AJ Mitchell,Like Strangers Do,17323
2023-12-11 09:49,salem ilese,PS5,27647
2023-12-11 09:50,Rihanna,Shut Up And Drive,32628
2023-12-11 09:53,Rihanna,Shut Up And Drive,212280
2023-12-11 09:56,Bruno Mars,Runaway Baby,148448
